iso3c,region_id,country_name,income_id,gdp,population_population_number_of_people,total_msw_total_msw_generated_tons_year,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_is_this_data_measured
NPL,SAS,Nepal,LIC,2902.249267578125,28982772,1768977.49,52.39,4.36,1.9,7.12,18.21,15.14,0.9,NA,NA,NA,2.87,NA,NA,37,NA,NA,NA,NA,60.13,NA,At generator level
NRU,EAS,Nauru,UMC,11167.3193359375,13049,6191.7505,43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NZL,EAS,New Zealand,HIC,41857.4765625,4692700,3405000,28,4,4.5,37,7,8,1,11,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA
OMN,MEA,Oman,HIC,30535.833984375,3960925,1734885.15,27,6,NA,24,15,21,NA,2,5,NA,NA,0.01,NA,NA,99.99,NA,NA,NA,NA,NA,NA
PAK,SAS,Pakistan,LMC,4571.41455078125,193203472,30760000,30,6,4,20,13,9,2,2,14,NA,2,NA,NA,40,50,NA,8,NA,NA,NA,Waste generated in 8 cities
PAN,LCN,Panama,HIC,28436.359375,3969249,1472262.2151499998,46.4,5.8,3.8,5.7,26.3,12,NA,NA,NA,NA,NA,16,NA,NA,23.4,18.9,NA,41.7,NA,NA,NA
PER,LCN,Peru,UMC,11877.083984375,30973354,8356711.13,50.43,3.05,2.64,21.7,7.44,10.52,1.25,NA,2.97,NA,NA,15.58,NA,NA,56.39,NA,4,24.03,NA,NA,NA
PHL,EAS,Philippines,LMC,7705.04541015625,103320224,14631922.9,52.31,2.34,4.22,21.52,8.7,10.55,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,72,NA,NA
PLW,EAS,Palau,HIC,18275.025390625,21503,9426.7455,26,5,10,9,15,32,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PNG,EAS,Papua New Guinea,LMC,3912.381103515625,7755785,1000000,31,NA,NA,42,16.6,10,NA,NA,NA,NA,NA,62,NA,NA,NA,37,2,NA,NA,NA,NA
