X,Y,xlo,ylo,fk_cat_especie,descripcion,perimetroestipite,alturaestipite,ObjectId
-5.942649594510472,37.400109535068879,239522.6,4143324,PHC,Phoenix canariensis,203,2.0,2224
-5.941211310780933,37.399386652639912,239647.4,4143240,PHC,Phoenix canariensis,292,4.0,2225
-5.940955269236467,37.399022868024069,239668.8,4143199,PHC,Phoenix canariensis,NULL,NULL,2226
-5.941546230230832,37.399601328264794,239618.5,4143265,PHC,Phoenix canariensis,243,2.0,2227
-5.942402978591105,37.399946457141041,239543.9,4143305,PHC,Phoenix canariensis,179,7.0,2228
-5.941746243170085,37.399528857953989,239600.6,4143257,PHC,Phoenix canariensis,NULL,NULL,2229
-5.942282646829849,37.399870250258694,239554.3,4143297,PHC,Phoenix canariensis,NULL,NULL,2230
-5.941343561965995,37.399470222970599,239636,4143250,PHC,Phoenix canariensis,239,1.0,2231
-5.942081326977489,37.399741906001069,239571.6,4143282,PHC,Phoenix canariensis,286,3.0,2232
-5.94144104019827,37.399536817789702,239627.6,4143257,PHC,Phoenix canariensis,259,1.0,2233
-5.942998700716015,37.40028826087093,239492.3,4143345,PHC,Phoenix canariensis,220,2.0,2234
-5.941307590176517,37.399448591866616,239639.1,4143247,PHC,Phoenix canariensis,278,1.0,2235
-5.940908652851511,37.398997627183881,239672.9,4143196,PHC,Phoenix canariensis,308,3.0,2236
-5.941263480567412,37.399421036093258,239642.9,4143244,PHC,Phoenix canariensis,305,3.0,2237
-5.942591990035442,37.400071953669197,239527.6,4143320,PHC,Phoenix canariensis,230,1.0,2238
-5.943210357631767,37.400322815152961,239473.7,4143349,PHC,Phoenix canariensis,201,1.0,2239
-5.940999762768624,37.399051585751444,239665,4143202,PHC,Phoenix canariensis,305,3.0,2240
-5.942180717457807,37.399805388935363,239563.1,4143289,PHC,Phoenix canariensis,299,2.0,2241
-5.94398462812512,37.399827398850888,239403.4,4143297,PHC,Phoenix canariensis,246,2.0,2242
-5.944432398452193,37.398352095107306,239358.7,4143134,PHC,Phoenix canariensis,242,2.0,2243
-5.943931241517493,37.39992352152472,239408.5,4143307,PHC,Phoenix canariensis,228,2.0,2244
-5.944037827801984,37.399726505154909,239398.4,4143286,PHC,Phoenix canariensis,186,2.0,2245
-5.943834384362361,37.400060374379635,239417.5,4143322,PHC,Phoenix canariensis,219,1.0,2246
-5.969653493693034,37.38029694775831,237062.4,4141200,WRO,Washingtonia robusta,95,12.0,2247
-5.943682364618694,37.400196078690527,239431.5,4143337,PHC,Phoenix canariensis,214,2.0,2248
-5.969671610721358,37.380163765671725,237060.4,4141186,WRO,Washingtonia robusta,115,13.0,2249
-5.944226222187153,37.399265059066117,239380.1,4143235,PHC,Phoenix canariensis,249,3.0,2250
-5.969023367867662,37.379285209198962,237114.7,4141086,WRO,Washingtonia robusta,119,14.0,2251
-5.958195725956978,37.394699014032334,238127.3,4142767,PHC,Phoenix canariensis,244,1.5,2252
-5.968932538121949,37.379275417211367,237122.7,4141085,WRO,Washingtonia robusta,114,14.0,2253
-5.966045090292636,37.387812984667178,237408.3,4142024,PHC,Phoenix canariensis,175,8.0,2254
-5.96873925132066,37.361720039849622,237078.5,4139136,WRO,Washingtonia robusta,138,12.0,2255
-5.958447489154577,37.400909064450822,238126.7,4143457,PHC,Phoenix canariensis,210,1.5,2256
-5.969841235758811,37.361562238029038,236980.3,4139122,WRO,Washingtonia robusta,145,14.0,2257
-5.958310440375139,37.40097106562996,238139,4143463,PHC,Phoenix canariensis,240,2.0,2258
-5.973482238319755,37.360620888293049,236654.5,4139027,WRO,Washingtonia robusta,145,9.0,2259
-5.973025703880372,37.388618342737679,236792.9,4142133,PHC,Phoenix canariensis,220,4.0,2260
-5.982984661025673,37.367533335938852,235837,4139821,WRO,Washingtonia robusta,137,17.0,2261
-5.966250011748554,37.38785208236375,237390.2,4142029,PHC,Phoenix canariensis,128,7.0,2262
-5.978787478003932,37.383987371057813,236266.5,4141635,WRO,Washingtonia robusta,123,13.0,2263
-5.97291709425958,37.38853042879402,236802.2,4142123,PHC,Phoenix canariensis,220,6.0,2264
-5.978878998578151,37.384014438287629,236258.4,4141639,WRO,Washingtonia robusta,115,14.0,2265
-5.95930895844197,37.395302150000596,238030.8,4142837,PHC,Phoenix canariensis,200,2.5,2266
-5.978930856807229,37.38401799655842,236253.9,4141639,WRO,Washingtonia robusta,120,13.0,2267
-5.95948463162571,37.399809018571403,238031,4143338,PHC,Phoenix canariensis,330,2.0,2268
-5.972005884057149,37.37726762516894,236843.5,4140871,WRO,Washingtonia robusta,123,14.0,2269
-5.948745589065892,37.404081174261172,238996.7,4143782,PHC,Phoenix canariensis,53,0.0,2270
-5.971374916568609,37.377498577680619,236900.2,4140895,WRO,Washingtonia robusta,119,15.0,2271
-5.96788707338462,37.415995023023619,237343.6,4145157,PHC,Phoenix canariensis,204,6.0,2272
-5.970618418581972,37.37792478973779,236968.7,4140940,WRO,Washingtonia robusta,118,16.0,2273
-5.95224213645997,37.387370254673343,238629,4141937,PHC,Phoenix canariensis,250,0.5,2274
-5.952272046354627,37.387366984324075,238626.3,4141937,PHC,Phoenix canariensis,300,0.5,2275
-5.971214866282821,37.379484582762046,236921.3,4141115,WRO,Washingtonia robusta,119,16.0,2276
-5.961997636942195,37.407761625499411,237836.2,4144227,PHC,Phoenix canariensis,214,4.0,2277
-5.970056578983181,37.380159135575362,237026.3,4141186,WRO,Washingtonia robusta,124,16.0,2278
-5.967844450951393,37.415991318341547,237347.4,4145157,PHC,Phoenix canariensis,212,6.0,2279
-5.969932214677664,37.38015225975856,237037.3,4141185,WRO,Washingtonia robusta,117,16.0,2280
